source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
K2,41.688644,,,,2.35545351,5703.0,4.38,0.956122,1.0,0,CONFIRMED
K2,41.6855,,,,2.23,5766.0,4.5,0.928,1.0,0,CONFIRMED
K2,41.6855,,,,2.57807,5766.0,4.5,1.08,1.0,0,CONFIRMED
K2,2.30183,,,,1.12,4616.52,4.53679,0.762602,,1,CANDIDATE
K2,2.302368,,,,1.31258765,4720.0,4.5,0.710995,,1,CANDIDATE
K2,1.1947488,,,,4.19,3919.0,,0.57,,1,CANDIDATE
K2,6.178369,,,,9.91257877,5015.0,4.67,0.789478,,1,CANDIDATE
K2,6.17887,,,,8.84,4719.28,4.45833,0.849432,,1,CANDIDATE
K2,1.17589,,,,0.86,,,0.309,,1,CANDIDATE
K2,10.6966,,,,1.45,,,0.588,,1,CANDIDATE
K2,1.5374115,,,,45.0,,,1.599,,1,CANDIDATE
K2,2.71189,,,,4.34,6402.0,3.54386,3.16745,,1,CANDIDATE
K2,18.10549,,,,2.09985108,6213.0,4.32,1.224685,,1,CANDIDATE
K2,6.7987,,,,1.047,3648.0,4.999,0.282,1.0,0,CONFIRMED
K2,79.9999,,,,10.2,4542.0,4.747,0.508,,1,CANDIDATE
K2,,,,,30.0,,,0.707,,1,CANDIDATE
K2,17.77297,,,,26.44,5847.0,4.26659,1.25428,,1,CANDIDATE
K2,0.99656225,,,,32.8,3727.0,,0.5,,1,CANDIDATE
K2,14.912381,,,,3.55,4224.0,,0.65,,1,CANDIDATE
K2,14.9139,,,,3.24,,,0.647,,1,CANDIDATE
K2,0.57303573,,,,3.35,3570.0,,0.43,,1,CANDIDATE
K2,28.1656,,,,1.87,,,,1.0,0,CONFIRMED
K2,28.1696,,,,2.2,,,0.374,1.0,0,CONFIRMED
K2,7.90417,,,,2.06,,,0.374,,1,CANDIDATE
K2,7.9069606,,,,3.02,3772.0,,0.52,,1,CANDIDATE
K2,1.0829614,,,,1.56,3875.0,,0.56,,1,CANDIDATE
K2,0.905655,,,,1.57,,,0.576,,1,CANDIDATE
K2,0.90552205,,,,1.52,3710.0,,0.5,,1,CANDIDATE
K2,2.7541129,,,,4.87,3834.0,,0.55,,1,CANDIDATE
K2,2.75421,,,,8.4,,,0.89,,1,CANDIDATE
K2,2.75391,,,,3.78,3918.0,4.846,0.436,,1,CANDIDATE
K2,50.285869,,,,3.47,4859.0,,0.74,0.0,0,FALSE POSITIVE
K2,50.27762,,,,209.52,5141.0,,10.96,0.0,0,FALSE POSITIVE
K2,10.50439,,,,1.75,,,0.878,,1,CANDIDATE
K2,1.684208,,,,5.51,,,0.431,,1,CANDIDATE
K2,0.2122013,,,,0.519,,,0.188,,1,CANDIDATE
K2,0.21219899,,,,1.05,3468.0,,0.37,,1,CANDIDATE
K2,0.212194,,,,0.77,3299.0,5.106,0.26,,1,CANDIDATE
K2,1.5778643,,,,7.55,4811.0,,0.73,,1,CANDIDATE
K2,1.57771549,,,,,5163.0,4.25178,1.15585,,1,CANDIDATE
K2,1.57771549,,,,,7333.0,3.83915,2.56752,,1,CANDIDATE
K2,13.0113,,,,2.43,5347.0,4.51267,0.880221,,1,CANDIDATE
K2,40.70206194,,,,,3759.0,4.67427,0.572892,,1,CANDIDATE
K2,21.204739,,,,9.11013939,5154.0,3.91,1.761722,,1,CANDIDATE
K2,2.519334,,,,3.91,6283.0,4.17,1.45,0.0,0,FALSE POSITIVE
K2,2.5194039,,,,7.65729,6380.0,,1.76,0.0,0,FALSE POSITIVE
K2,2.519386,,,,19.6,,,2.03,0.0,0,FALSE POSITIVE
K2,2.51881781,,,,,6380.0,,1.76277,0.0,0,FALSE POSITIVE
K2,2.5194078,,,,7.99,7119.0,,1.72,0.0,0,FALSE POSITIVE
K2,13.383629,,,,2.87289326,5216.0,4.7,0.815235,,1,CANDIDATE
K2,13.38382,,,,2.7,5113.71,4.73383,0.65973,,1,CANDIDATE
K2,11.8951,,,,,5040.0,,0.68,,1,CANDIDATE
K2,40.1401,,,,20.8,,,0.716,,1,CANDIDATE
K2,7.4433,,,,2.73,,,0.724,,1,CANDIDATE
K2,2.638,,,,2.91,4264.47,,,,1,CANDIDATE
K2,27.47083,,,,3.36,4947.03,4.59659,0.749863,,1,CANDIDATE
K2,2.8268121,,,,40.1,5736.0,,0.98,,1,CANDIDATE
K2,0.72091,,,,1.5,5633.0,4.4,0.94,1.0,0,CONFIRMED
K2,4.44044,,,,1.32,,,1.053,,1,CANDIDATE
K2,4.4416421,,,,1.17,5547.0,,0.9,,1,CANDIDATE
K2,4.441258,,,,1.12422498,5450.0,4.54,0.833852,,1,CANDIDATE
K2,11.20381,,,,2.18,,,1.1,,1,CANDIDATE
K2,8.006875,,,,2.384,5403.0,4.538,0.846,,1,CANDIDATE
K2,3.3643115,,,,85.6,6240.0,,1.32,,1,CANDIDATE
K2,2.13174,,,,0.692,,,,1.0,0,CONFIRMED
K2,13.837814,,,,1.96,4535.0,,0.7,,1,CANDIDATE
K2,13.8394,,,,1.29,,,0.554,,1,CANDIDATE
K2,7.79983,,,,1.37,,,0.554,,1,CANDIDATE
K2,7.7991586,,,,1.57,4535.0,,0.7,,1,CANDIDATE
K2,3.883,,,,1.06,,,0.554,,1,CANDIDATE
K2,2.3330982,,,,5.48,3726.0,,0.5,,1,CANDIDATE
K2,2.33293,,,,3.2,3508.0,5.062,0.224,,1,CANDIDATE
K2,2.333123,,,,2.95,,,0.224,,1,CANDIDATE
