source,period_d,duration_h,depth_ppm,snr,planet_radius_re,stellar_teff_k,stellar_logg,stellar_radius_rs,label,is_candidate,raw_disposition
KOI,948803557,29575,6158.0,358.0,226.0,54550.0,4467.0,927.0,1.0,0,CONFIRMED
KOI,544183827,4507,8748.0,258.0,283.0,54550.0,4467.0,927.0,1.0,0,CONFIRMED
KOI,1989913995,17822,108290.0,763.0,146.0,58530.0,4544.0,868.0,,1,CANDIDATE
KOI,1736952453,240641,80792.0,5056.0,3346.0,58050.0,4564.0,791.0,0.0,0,FALSE POSITIVE
KOI,2525591777,16545,6033.0,409.0,275.0,60310.0,4438.0,1046.0,1.0,0,CONFIRMED
KOI,1109432054,45945,15175.0,665.0,39.0,60460.0,4486.0,972.0,1.0,0,CONFIRMED
KOI,413443512,31402,6860.0,402.0,277.0,60460.0,4486.0,972.0,1.0,0,CONFIRMED
KOI,256658897,2429,2265.0,150.0,159.0,60460.0,4486.0,972.0,1.0,0,CONFIRMED
KOI,736178958,5022,2337.0,477.0,3921.0,62270.0,3986.0,1958.0,0.0,0,FALSE POSITIVE
KOI,1606864674,35347,49143.0,1619.0,576.0,50310.0,4485.0,848.0,1.0,0,CONFIRMED
KOI,2470613377,174319,142310.0,43043.0,1304.0,58200.0,4457.0,964.0,1.0,0,CONFIRMED
KOI,2204735417,388864,66747.0,59459.0,161.0,64400.0,4019.0,1952.0,1.0,0,CONFIRMED
KOI,3522498429,319843,91457.0,17415.0,1459.0,62250.0,4169.0,1451.0,1.0,0,CONFIRMED
KOI,3709214104,26302,1311.0,506.0,116.0,58330.0,4407.0,1022.0,1.0,0,CONFIRMED
KOI,11521446064,36399,179840.0,6221.0,15051.0,57950.0,4554.0,848.0,0.0,0,FALSE POSITIVE
KOI,1940393776,122155,89187.0,2147.0,718.0,50430.0,4591.0,68.0,0.0,0,FALSE POSITIVE
KOI,19221388942,479843,742840.0,23170.0,4929.0,61170.0,4496.0,947.0,0.0,0,FALSE POSITIVE
KOI,1646983774,94378,104790.0,3034.0,794.0,51520.0,4517.0,786.0,0.0,0,FALSE POSITIVE
KOI,927358173,32875,12883.0,872.0,247.0,48560.0,4583.0,696.0,1.0,0,CONFIRMED
KOI,602930329,15821,19127.0,654.0,285.0,45370.0,4648.0,672.0,1.0,0,CONFIRMED
KOI,2696370652,36129,3979.0,482.0,158.0,49890.0,4504.0,819.0,0.0,0,FALSE POSITIVE
KOI,5349553819,30278,8310.0,606.0,255.0,51850.0,444.0,91.0,1.0,0,CONFIRMED
KOI,394105221,25984,3633.0,289.0,17.0,51850.0,444.0,91.0,1.0,0,CONFIRMED
KOI,810904807,3596,2174.0,141.0,13.0,51850.0,444.0,91.0,1.0,0,CONFIRMED
KOI,3866030528,68057,249270.0,9940.0,415.0,55430.0,4081.0,158.0,0.0,0,FALSE POSITIVE
KOI,2167699193,34555,8572.0,343.0,295.0,49540.0,45.0,828.0,1.0,0,CONFIRMED
KOI,499677968,21717,9347.0,282.0,278.0,53390.0,4552.0,847.0,1.0,0,CONFIRMED
KOI,4280963604,2875,7508.0,618.0,23.0,56440.0,4564.0,831.0,1.0,0,CONFIRMED
KOI,150635409,15155,22117.0,1811.0,453.0,57140.0,4563.0,831.0,0.0,0,FALSE POSITIVE
KOI,670645531,53412,180910.0,6427.0,1414.0,55200.0,4466.0,983.0,0.0,0,FALSE POSITIVE
KOI,612563628,7633,51233.0,853.0,3987.0,61440.0,4402.0,1091.0,0.0,0,FALSE POSITIVE
KOI,383775486,5588,7242.0,347.0,282.0,54810.0,4369.0,1036.0,1.0,0,CONFIRMED
KOI,4119725502,46297,22139.0,512.0,386.0,50310.0,4485.0,848.0,1.0,0,CONFIRMED
KOI,6252962249,25819,10369.0,471.0,265.0,50310.0,4485.0,848.0,1.0,0,CONFIRMED
KOI,1601308419,32554,11219.0,332.0,31.0,50150.0,4499.0,826.0,1.0,0,CONFIRMED
KOI,3262876672,47971,18048.0,800.0,336.0,55860.0,456.0,798.0,1.0,0,CONFIRMED
KOI,917732862,6473,6520.0,191.0,212.0,55860.0,456.0,798.0,1.0,0,CONFIRMED
KOI,4959319244,222739,98020.0,6965.0,1221.0,57120.0,4359.0,1082.0,1.0,0,CONFIRMED
KOI,2701287801,33827,8604.0,483.0,654.0,55500.0,4468.0,91.0,0.0,0,FALSE POSITIVE
KOI,449876511,37362,4600.0,295.0,21.0,60750.0,4486.0,969.0,1.0,0,CONFIRMED
KOI,19651209505,52514,117660.0,5134.0,1242.0,60740.0,4391.0,1063.0,0.0,0,FALSE POSITIVE
KOI,5412203927,29472,6016.0,1667.0,294.0,57790.0,4339.0,1087.0,1.0,0,CONFIRMED
KOI,4143958662,105989,27931.0,1411.0,55.0,54680.0,4367.0,1046.0,1.0,0,CONFIRMED
KOI,835389523,22514,10416.0,434.0,252.0,55920.0,4582.0,787.0,1.0,0,CONFIRMED
KOI,4125543472,31744,14873.0,1286.0,443.0,61740.0,4417.0,1103.0,1.0,0,CONFIRMED
KOI,2816504904,250587,168140.0,14068.0,1221.0,55320.0,4452.0,955.0,1.0,0,CONFIRMED
KOI,3393373447,14561,85037.0,2361.0,734.0,50400.0,4628.0,705.0,0.0,0,FALSE POSITIVE
KOI,3689920099,26557,4267.0,356.0,189.0,58800.0,4518.0,917.0,1.0,0,CONFIRMED
KOI,4431238488,315,10109.0,711.0,325.0,57140.0,4428.0,1015.0,1.0,0,CONFIRMED
KOI,1137936986,26255,10235.0,379.0,395.0,57140.0,4428.0,1015.0,1.0,0,CONFIRMED
KOI,2639432897,3573,15109.0,482.0,307.0,51290.0,4595.0,763.0,1.0,0,CONFIRMED
KOI,1357078281,33539,5117.0,884.0,264.0,58540.0,4406.0,1012.0,1.0,0,CONFIRMED
KOI,712594387,30014,1924.0,471.0,179.0,57790.0,4339.0,1087.0,1.0,0,CONFIRMED
KOI,7442652004,23078,244460.0,8356.0,1503.0,61080.0,4469.0,956.0,0.0,0,FALSE POSITIVE
KOI,1638489988,30249,11271.0,289.0,20.0,41260.0,4661.0,615.0,1.0,0,CONFIRMED
KOI,78774163,20805,13061.0,387.0,216.0,41260.0,4661.0,615.0,1.0,0,CONFIRMED
KOI,364454001,4007,11223.0,217.0,199.0,41260.0,4661.0,615.0,1.0,0,CONFIRMED
KOI,3728732147,2683,52265.0,3452.0,602.0,54970.0,4577.0,809.0,1.0,0,CONFIRMED
KOI,404195037,3362,62560.0,369.0,751.0,54460.0,4507.0,781.0,,1,CANDIDATE
KOI,2243380573,11196,8217.0,389.0,199.0,41490.0,4698.0,564.0,1.0,0,CONFIRMED
KOI,10405998015,65036,144890.0,7452.0,1123.0,57460.0,4393.0,924.0,0.0,0,FALSE POSITIVE
KOI,2337437946,19982,9712.0,824.0,234.0,50050.0,4595.0,765.0,1.0,0,CONFIRMED
KOI,72406612,558,5564.0,137.0,1945.0,50050.0,4595.0,765.0,,1,CANDIDATE
KOI,343591631,3133,232.0,87.0,55.0,57790.0,4339.0,1087.0,,1,CANDIDATE
KOI,1159822233,25237,28045.0,710.0,265.0,36880.0,479.0,473.0,1.0,0,CONFIRMED
KOI,6575315881,43084,27933.0,2211.0,531.0,59920.0,4415.0,989.0,1.0,0,CONFIRMED
KOI,7275040844,75377,30010.0,3121.0,486.0,54850.0,4556.0,867.0,1.0,0,CONFIRMED
KOI,1927153892,27594,12198.0,371.0,193.0,40770.0,4702.0,56.0,1.0,0,CONFIRMED
KOI,1006524317,1369,10533.0,303.0,191.0,40770.0,4702.0,56.0,1.0,0,CONFIRMED
KOI,123935651,38896,9166.0,358.0,266.0,55570.0,4603.0,75.0,1.0,0,CONFIRMED
KOI,4384439721,6802,6152.0,837.0,287.0,58540.0,4406.0,1012.0,1.0,0,CONFIRMED
KOI,3341913228,3813,7253.0,390.0,2155.0,52950.0,4551.0,811.0,0.0,0,FALSE POSITIVE
KOI,1626630225,21145,16206.0,1036.0,3243.0,57350.0,441.0,973.0,0.0,0,FALSE POSITIVE
KOI,2711504086,30099,8375.0,645.0,312.0,62140.0,4442.0,1076.0,1.0,0,CONFIRMED
KOI,721203748,40491,9504.0,515.0,332.0,62140.0,4442.0,1076.0,1.0,0,CONFIRMED
KOI,141798187,2505,4599.0,112.0,188.0,57990.0,4539.0,878.0,0.0,0,FALSE POSITIVE
KOI,847237911,27245,11235.0,476.0,259.0,53540.0,4587.0,788.0,1.0,0,CONFIRMED
KOI,604189369,5039,9313.0,201.0,236.0,53540.0,4587.0,788.0,1.0,0,CONFIRMED
KOI,12611904345,51497,61056.0,2772.0,74.0,57950.0,4508.0,919.0,1.0,0,CONFIRMED
KOI,1433769925,18868,19763.0,1126.0,4658.0,60170.0,422.0,1339.0,0.0,0,FALSE POSITIVE
KOI,1031872301,3836,8717.0,382.0,2859.0,59270.0,4409.0,106.0,0.0,0,FALSE POSITIVE
KOI,2539183147,24282,3821.0,389.0,206.0,55190.0,435.0,1062.0,1.0,0,CONFIRMED
KOI,6770300385,20844,13040.0,508.0,277.0,56530.0,4656.0,679.0,1.0,0,CONFIRMED
KOI,444291966,20792,109670.0,2997.0,2751.0,52550.0,4678.0,636.0,0.0,0,FALSE POSITIVE
KOI,10181584004,35089,57411.0,1836.0,773.0,59880.0,4541.0,836.0,,1,CANDIDATE
KOI,2006036336,33203,14947.0,352.0,196.0,39500.0,4754.0,493.0,1.0,0,CONFIRMED
KOI,461842039,4758,13947.0,260.0,183.0,39500.0,4754.0,493.0,1.0,0,CONFIRMED
KOI,239800854,5351,1040.0,171.0,131.0,58540.0,4406.0,1012.0,1.0,0,CONFIRMED
KOI,782502168,2186,5208.0,159.0,12.0,39500.0,4754.0,493.0,1.0,0,CONFIRMED
KOI,3895936525,23111,85448.0,3708.0,734.0,55570.0,4592.0,774.0,1.0,0,CONFIRMED
KOI,2236646466,5228,9868.0,321.0,232.0,53950.0,4615.0,734.0,1.0,0,CONFIRMED
KOI,1625522174,238963,79690.0,7997.0,973.0,55390.0,4322.0,1106.0,1.0,0,CONFIRMED
KOI,19620346923,20038,217250.0,3405.0,136.0,57100.0,4492.0,905.0,,1,CANDIDATE
KOI,7544039,6222,3226.0,142.0,1747.0,56570.0,4567.0,824.0,0.0,0,FALSE POSITIVE
KOI,902930689,31449,10198.0,539.0,257.0,53490.0,4526.0,82.0,1.0,0,CONFIRMED
KOI,10328035714,77915,169180.0,6368.0,1328.0,56270.0,4359.0,1024.0,0.0,0,FALSE POSITIVE
KOI,1432063047,89302,105660.0,1388.0,89.0,54850.0,4556.0,867.0,1.0,0,CONFIRMED
KOI,6164876,3262,558.0,144.0,79.0,58540.0,4406.0,1012.0,1.0,0,CONFIRMED
KOI,6032494216,66188,202800.0,3472.0,1219.0,54850.0,4556.0,867.0,1.0,0,CONFIRMED
KOI,291598615,4803,4880.0,116.0,191.0,54850.0,4556.0,867.0,1.0,0,CONFIRMED
KOI,1540397253,21541,8161.0,388.0,2569.0,56630.0,453.0,915.0,0.0,0,FALSE POSITIVE
KOI,299025443,5414,5892.0,485.0,17.0,46670.0,4578.0,731.0,0.0,0,FALSE POSITIVE
KOI,1594745374,19604,150440.0,10093.0,113.0,59340.0,4491.0,893.0,1.0,0,CONFIRMED
KOI,4783002698,2335,10087.0,706.0,25.0,51700.0,4574.0,807.0,1.0,0,CONFIRMED
KOI,2050588921,40595,21055.0,785.0,341.0,49050.0,4544.0,761.0,1.0,0,CONFIRMED
KOI,3340218842,19104,16326.0,716.0,203.0,39500.0,4754.0,493.0,1.0,0,CONFIRMED
KOI,2507089906,20067,13392.0,649.0,3026.0,59260.0,4506.0,939.0,0.0,0,FALSE POSITIVE
KOI,1864932728,44056,8936.0,461.0,312.0,57750.0,4405.0,1053.0,1.0,0,CONFIRMED
KOI,490144976,41654,1407.0,506.0,17.0,58470.0,4191.0,1402.0,1.0,0,CONFIRMED
KOI,975192101,4793,4180.0,285.0,276.0,57750.0,4405.0,1053.0,1.0,0,CONFIRMED
KOI,385576546,5794,9930.0,397.0,402.0,57750.0,4405.0,1053.0,1.0,0,CONFIRMED
KOI,3525632539,259959,223350.0,19967.0,1158.0,51500.0,4572.0,793.0,1.0,0,CONFIRMED
KOI,3484398644,29315,45236.0,768.0,761.0,55090.0,4482.0,871.0,,1,CANDIDATE
KOI,7748094239,35957,24721.0,1132.0,552.0,59730.0,4439.0,1085.0,1.0,0,CONFIRMED
KOI,2396793669,3827,11823.0,275.0,18.0,37470.0,4728.0,524.0,1.0,0,CONFIRMED
KOI,829561738,13421,8243.0,179.0,182.0,37470.0,4728.0,524.0,1.0,0,CONFIRMED
KOI,811437482,22736,15580.0,564.0,21.0,36920.0,4753.0,517.0,1.0,0,CONFIRMED
KOI,38036729482,434617,828720.0,13000.0,275.0,55750.0,4521.0,932.0,0.0,0,FALSE POSITIVE
KOI,464090031,35512,24506.0,2969.0,3009.0,64630.0,45.0,826.0,,1,CANDIDATE
KOI,3747838198,50642,6160.0,1382.0,1365.0,55140.0,4569.0,826.0,0.0,0,FALSE POSITIVE
KOI,1474914825,60995,4302.0,1074.0,289.0,58470.0,4191.0,1402.0,1.0,0,CONFIRMED
KOI,2181295996,43791,11754.0,378.0,338.0,56010.0,441.0,999.0,1.0,0,CONFIRMED
KOI,791936937,33148,151480.0,3890.0,1034.0,56900.0,4588.0,776.0,0.0,0,FALSE POSITIVE
KOI,1028436523,18606,80980.0,896.0,7277.0,62280.0,4428.0,99.0,,1,CANDIDATE
KOI,1537562369,33169,153370.0,1660.0,1101.0,49860.0,4496.0,833.0,1.0,0,CONFIRMED
KOI,810363271,3161,8879.0,393.0,211.0,48610.0,4574.0,732.0,1.0,0,CONFIRMED
KOI,471510843,2506,4175.0,213.0,146.0,48610.0,4574.0,732.0,1.0,0,CONFIRMED
KOI,6365839713,29721,7807.0,708.0,244.0,57760.0,4554.0,849.0,1.0,0,CONFIRMED
KOI,597581754,3065,9624.0,503.0,386.0,61080.0,4471.0,997.0,0.0,0,FALSE POSITIVE
KOI,2446737317,47211,11779.0,1102.0,2625.0,57640.0,4548.0,863.0,0.0,0,FALSE POSITIVE
KOI,304033046,18411,108590.0,5682.0,899.0,50350.0,4519.0,791.0,1.0,0,CONFIRMED
KOI,1533528675,3897,30814.0,866.0,50.0,52510.0,4581.0,817.0,1.0,0,CONFIRMED
KOI,795825328,4377,500.0,147.0,106.0,58470.0,4191.0,1402.0,1.0,0,CONFIRMED
KOI,3133046135,5176,50738.0,1172.0,65.0,52510.0,4581.0,817.0,1.0,0,CONFIRMED
KOI,39043425,3831,162280.0,3234.0,1228.0,58100.0,4526.0,898.0,0.0,0,FALSE POSITIVE
KOI,9286358079,349949,447910.0,16711.0,1761.0,56700.0,4523.0,821.0,0.0,0,FALSE POSITIVE
KOI,3951405455,21862,24539.0,1172.0,3144.0,60460.0,4539.0,869.0,0.0,0,FALSE POSITIVE
KOI,2365369415,82183,33418.0,2663.0,789.0,57390.0,4191.0,1384.0,1.0,0,CONFIRMED
KOI,1323352214,67372,5046.0,491.0,306.0,57390.0,4191.0,1384.0,1.0,0,CONFIRMED
KOI,615560285,49843,2850.0,351.0,232.0,57390.0,4191.0,1384.0,1.0,0,CONFIRMED
KOI,2090811305,3388,1159.0,199.0,162.0,57390.0,4191.0,1384.0,1.0,0,CONFIRMED
KOI,3180027898,35797,1203.0,504.0,153.0,58470.0,4191.0,1402.0,1.0,0,CONFIRMED
KOI,504467417,7159,3703.0,194.0,267.0,57390.0,4191.0,1384.0,1.0,0,CONFIRMED
KOI,1176307164,29076,10373.0,489.0,235.0,49590.0,4603.0,756.0,1.0,0,CONFIRMED
KOI,562279271,357,8627.0,209.0,237.0,49590.0,4603.0,756.0,1.0,0,CONFIRMED
KOI,2384052875,30918,12681.0,505.0,1706.0,47940.0,458.0,701.0,0.0,0,FALSE POSITIVE
KOI,7953547,26312,8754.0,384.0,225.0,47680.0,4536.0,779.0,1.0,0,CONFIRMED
KOI,414451656,23421,3918.0,228.0,148.0,47680.0,4536.0,779.0,1.0,0,CONFIRMED
KOI,4859386384,22757,60443.0,2697.0,3833.0,60720.0,447.0,988.0,0.0,0,FALSE POSITIVE
KOI,10526294577,25211,97680.0,4823.0,824.0,53860.0,4553.0,793.0,1.0,0,CONFIRMED
KOI,4583520948,27055,38121.0,995.0,539.0,58150.0,454.0,877.0,1.0,0,CONFIRMED
KOI,376181843,35176,5106.0,359.0,266.0,56530.0,4472.0,949.0,1.0,0,CONFIRMED
KOI,820396958,29667,10244.0,544.0,301.0,50150.0,4499.0,826.0,1.0,0,CONFIRMED
